Price,District,DistrictCode,Size,StationDistance,BuildYear,Reform
69,文京区,D05,40,9,2011,0
22,文京区,D05,15,2,2000,1
120,文京区,D05,75,7,1997,1
40,文京区,D05,45,13,1981,1
21,文京区,D05,20,3,2005,0
85,文京区,D05,65,9,2003,1
22,文京区,D05,20,8,2006,0
21,文京区,D05,20,8,2006,0
49,文京区,D05,40,1,2014,0
70,文京区,D05,55,7,2004,0
38,文京区,D05,45,6,1962,1
130,文京区,D05,80,5,2001,0
74,文京区,D05,55,9,2013,0
27,文京区,D05,25,4,2013,0
93,文京区,D05,65,11,2018,0
77,文京区,D05,85,5,1971,1
64,文京区,D05,45,4,2013,1
33,文京区,D05,30,9,2015,0
36,文京区,D05,30,1,2002,0
15,文京区,D05,15,11,1994,1
35,文京区,D05,30,2,1987,1
10,文京区,D05,15,8,1977,0
69,文京区,D05,60,9,2001,1
12,文京区,D05,15,8,1977,1
25,文京区,D05,20,1,2002,0
43,文京区,D05,45,9,2007,0
74,文京区,D05,55,2,2001,0
8.5,文京区,D05,15,6,1992,0
120,文京区,D05,65,3,2008,1
50,文京区,D05,40,6,2014,1
29,文京区,D05,25,6,2014,0
44,文京区,D05,40,10,2007,0
110,文京区,D05,65,5,2018,1
27,文京区,D05,20,5,2003,0
26,文京区,D05,25,5,2003,1
110,文京区,D05,70,4,2017,0
19,文京区,D05,20,3,2005,0
52,文京区,D05,50,2,1985,0
24,文京区,D05,20,9,2006,0
26,文京区,D05,20,2,2002,0
21,文京区,D05,20,3,2000,0
19,文京区,D05,20,3,2000,0
68,文京区,D05,50,4,2014,0
62,文京区,D05,50,7,1987,1
29,文京区,D05,20,5,2009,0
66,文京区,D05,40,6,2006,1
27,文京区,D05,20,3,2003,0
73,文京区,D05,50,5,2018,0
88,文京区,D05,65,8,2015,0
29,文京区,D05,20,7,2013,0
8.8,文京区,D05,10,1,1985,0
63,文京区,D05,60,11,1998,0
27,文京区,D05,30,11,1995,0
25,文京区,D05,25,10,2005,0
36,文京区,D05,35,10,2005,0
23,文京区,D05,20,1,2008,0
85,文京区,D05,70,1,2001,0
24,文京区,D05,25,4,2012,0
56,文京区,D05,60,6,1999,0
60,文京区,D05,50,6,1984,1
40,文京区,D05,65,7,1969,0
54,文京区,D05,35,6,2018,0
94,文京区,D05,75,10,2004,0
59,文京区,D05,35,2,2017,0
25,文京区,D05,20,8,2009,1
50,文京区,D05,70,2,1980,0
42,台東区,D06,40,11,2009,0
28,台東区,D06,30,4,2003,1
15,台東区,D06,25,5,1974,1
28,台東区,D06,25,7,2009,1
27,台東区,D06,30,5,1990,1
17,台東区,D06,45,6,1985,0
29,台東区,D06,25,4,2001,1
31,台東区,D06,25,6,2018,0
130,台東区,D06,80,5,1970,0
25,台東区,D06,60,4,1964,0
34,台東区,D06,40,15,2007,0
38,台東区,D06,50,18,2015,1
6.7,台東区,D06,65,0,2002,1
46,台東区,D06,50,3,1998,1
11,台東区,D06,15,2,1989,1
28,台東区,D06,25,6,2012,0
17,台東区,D06,25,3,1980,0
25,台東区,D06,20,4,1982,1
30,台東区,D06,30,4,1982,1
24,台東区,D06,20,2,1983,0
49,台東区,D06,40,3,2005,0
21,台東区,D06,25,10,2010,0
46,台東区,D06,55,13,2014,0
35,台東区,D06,60,13,1988,0
28,台東区,D06,40,1,1980,1
35,台東区,D06,55,1,1980,1
50,台東区,D06,35,3,2018,0
29,台東区,D06,25,5,2013,0
16,台東区,D06,15,3,1992,0
50,台東区,D06,55,3,2004,0
83,台東区,D06,70,3,2000,0
13,台東区,D06,20,4,1992,0
25,台東区,D06,20,1,2006,0
15,台東区,D06,20,4,1992,0
52,台東区,D06,55,2,2004,0
22,台東区,D06,30,4,1990,0
22,台東区,D06,20,8,2007,0
72,台東区,D06,60,1,2002,1
70,台東区,D06,90,0,1983,1
56,台東区,D06,50,4,2011,0
29,台東区,D06,40,5,1984,0
25,台東区,D06,25,6,2007,0
58,台東区,D06,60,6,1988,1
41,台東区,D06,60,6,1988,1
70,台東区,D06,60,4,2015,0
25,台東区,D06,25,7,2015,0
32,台東区,D06,40,8,1984,1
41,台東区,D06,40,8,2021,0
50,台東区,D06,35,8,2016,0
30,台東区,D06,25,4,2012,0
48,台東区,D06,45,7,2004,1
35,台東区,D06,25,2,2017,0
30,台東区,D06,40,2,2007,0
31,台東区,D06,25,10,2018,0
46,台東区,D06,35,8,2009,0
43,台東区,D06,40,6,2015,0
72,台東区,D06,55,4,2012,0
45,台東区,D06,50,1,1981,1
34,台東区,D06,40,8,2017,0
28,台東区,D06,25,9,2018,0
24,台東区,D06,20,4,2008,0
30,台東区,D06,30,9,2015,0
23,台東区,D06,25,9,2007,1
56,台東区,D06,50,5,2000,1
36,台東区,D06,40,7,2014,0
19,台東区,D06,30,2,1989,0
26,台東区,D06,25,8,2009,0
65,台東区,D06,70,6,2007,0
44,台東区,D06,60,18,1996,0
51,台東区,D06,75,18,2000,0
31,台東区,D06,25,3,2015,0
67,台東区,D06,60,4,2000,0
32,台東区,D06,35,15,2007,0
40,台東区,D06,25,8,2023,0
32,台東区,D06,35,3,1974,1
50,台東区,D06,35,3,2017,0
78,台東区,D06,80,6,2001,0
50,台東区,D06,30,7,2023,0
7.5,台東区,D06,15,8,1989,0
26,台東区,D06,40,4,1977,0
28,台東区,D06,25,5,2012,0
25,台東区,D06,25,3,2006,0
27,台東区,D06,30,3,2006,0
26,台東区,D06,25,3,2006,0
28,台東区,D06,25,8,2014,0
29,台東区,D06,25,4,2008,1
12,台東区,D06,15,2,1991,1
30,台東区,D06,25,7,2017,0
41,台東区,D06,50,4,1994,0
95,台東区,D06,110,4,1994,0
74,台東区,D06,55,1,2011,0
50,台東区,D06,40,6,2016,0
26,台東区,D06,20,5,2004,0
60,台東区,D06,50,3,1999,0
30,台東区,D06,25,5,2005,0
40,台東区,D06,50,7,1999,1
